name,team,position,projected_points
Jeremy Ruckert,NYJ,TE,17.700
Jalen Hurts,PHI,QB,393.800
Kenny Pickett,PHI,QB,71.784
Saquon Barkley,PHI,RB,274.300
Kenneth Gainwell,PHI,RB,29.500
Will Shipley,PHI,RB,45.400
A.J. Brown,PHI,WR,160.300
DeVonta Smith,PHI,WR,139.700
Jahan Dotson,PHI,WR,28.100
Britain Covey,PHI,WR,27.606
Dallas Goedert,PHI,TE,82.700
Grant Calcaterra,PHI,TE,8.900
Russell Wilson,PIT,QB,213.900
Justin Fields,PIT,QB,341.800
Najee Harris,PIT,RB,88.000
Jaylen Warren,PIT,RB,118.700
Cordarrelle Patterson,PIT,RB,59.716
George Pickens,PIT,WR,136.200
Roman Wilson,PIT,WR,39.600
Calvin Austin III,PIT,WR,74.600
Van Jefferson,PIT,WR,35.200
Pat Freiermuth,PIT,TE,73.100
Darnell Washington,PIT,TE,14.500
Geno Smith,SEA,QB,307.400
Sam Howell,SEA,QB,71.740
Kenneth Walker III,SEA,RB,181.200
Zach Charbonnet,SEA,RB,105.800
Kenny McIntosh,SEA,RB,56.136
DK Metcalf,SEA,WR,150.800
Tyler Lockett,SEA,WR,60.600
Jaxon Smith-Njigba,SEA,WR,150.900
Jake Bobo,SEA,WR,28.500
Noah Fant,SEA,TE,73.452
AJ Barner,SEA,TE,36.700
Brock Purdy,SF,QB,347.500
Brandon Allen,SF,QB,12.800
Christian McCaffrey,SF,RB,233.300
Jordan Mason,SF,RB,109.700
Isaac Guerendo,SF,RB,38.300
Deebo Samuel,SF,WR,126.400
Brandon Aiyuk,SF,WR,76.500
Jauan Jennings,SF,WR,123.300
Ricky Pearsall,SF,WR,132.200
George Kittle,SF,TE,138.500
Eric Saubert,SF,TE,41.035
Baker Mayfield,TB,QB,360.500
Kyle Trask,TB,QB,74.377
Rachaad White,TB,RB,104.200
Bucky Irving,TB,RB,208.000
Sean Tucker,TB,RB,28.200
Mike Evans,TB,WR,159.700
Chris Godwin,TB,WR,99.900
Jalen McMillan,TB,WR,23.600
Trey Palmer,TB,WR,27.995
Cade Otton,TB,TE,79.500
Payne Durham,TB,TE,13.600
Will Levis,TEN,QB,297.680
Mason Rudolph,TEN,QB,24.000
Tony Pollard,TEN,RB,174.400
Tyjae Spears,TEN,RB,83.300
Julius Chestnut,TEN,RB,59.995
Calvin Ridley,TEN,WR,145.300
DeAndre Hopkins,TEN,WR,51.900
Treylon Burks,TEN,WR,47.662
Tyler Boyd,TEN,WR,28.241
Chigoziem Okonkwo,TEN,TE,75.500
Josh Whyle,TEN,TE,42.323
Jayden Daniels,WAS,QB,390.700
Marcus Mariota,WAS,QB,25.900
Brian Robinson Jr.,WAS,RB,74.200
Austin Ekeler,WAS,RB,112.800
Jeremy McNichols,WAS,RB,59.641
Terry McLaurin,WAS,WR,150.800
Luke McCaffrey,WAS,WR,24.100
Noah Brown,WAS,WR,56.800
Olamide Zaccheaus,WAS,WR,21.500
Zach Ertz,WAS,TE,87.700
Ben Sinnott,WAS,TE,43.698
Cam Ward,TEN,QB,314.300
Dillon Gabriel,CLE,QB,100.500
Tyler Shough,NO,QB,75.000
Shedeur Sanders,CLE,QB,72.400
Jaxson Dart,NYG,QB,70.300
Jalen Milroe,SEA,QB,28.700
Joshua Dobbs,NE,QB,26.200
Zach Wilson,MIA,QB,23.500
Ashton Jeanty,LV,RB,239.300
Omarion Hampton,LAC,RB,194.700
TreVeyon Henderson,NE,RB,175.400
Kaleb Johnson,PIT,RB,151.000
RJ Harvey,DEN,RB,142.200
Jacory Croskey-Merritt,WAS,RB,121.300
Quinshon Judkins,CLE,RB,108.100
Cam Skattebo,NYG,RB,81.100
Bhayshul Tuten,JAX,RB,80.700
Tetairoa McMillan,CAR,WR,142.700
Matthew Golden,GB,WR,120.600
Emeka Egbuka,TB,WR,118.700
Travis Hunter,JAX,WR,117.500
Tyler Warren,IND,TE,102.700
Colston Loveland,CHI,TE,88.500
Darren Waller,MIA,TE,72.400
Mason Taylor,NYJ,TE,71.500
Elijah Arroyo,SEA,TE,70.800
Harold Fannin Jr.,CLE,TE,56.500
Terrance Ferguson,LAR,TE,38.500
Stone Smartt,NYJ,TE,30.400
Gunnar Helm,TEN,TE,30.100
Lucas Krull,DEN,TE,24.800
