name,team,position,sport,projected_points
Roki Sasaki,LAD,SP,MLB,337.800
Jordan Westburg,BAL,2B,MLB,337.500
Miles Mikolas,WSH,SP,MLB,336.750
Ryan O'Hearn,PIT,1B,MLB,336.750
Jackson Holliday,BAL,2B,MLB,336.000
Kodai Senga,NYM,SP,MLB,335.550
Max Meyer,MIA,SP,MLB,335.500
Steven Matz,TB,RP,MLB,335.500
Addison Barger,TOR,3B,MLB,335.000
Brad Lord,WSH,SP,MLB,334.000
Michael Lorenzen,COL,SP,MLB,333.700
Jonathan India,KC,2B,MLB,333.500
Sal Stewart,CIN,1B,MLB,333.250
Jeff Hoffman,TOR,RP,MLB,333.050
Landen Roupp,SF,SP,MLB,332.650
Parker Messick,CLE,SP,MLB,332.200
Joey Ortiz,MIL,SS,MLB,331.250
Emilio Pagan,CIN,RP,MLB,330.650
Josh Lowe,LAA,OF,MLB,329.750
Colt Keith,DET,1B,MLB,328.500
Jac Caglianone,KC,1B,MLB,328.500
Chandler Simpson,TB,OF,MLB,328.000
Pete Fairbanks,MIA,RP,MLB,327.600
Matt Wallner,MIN,OF,MLB,327.000
Shane Bieber,TOR,SP,MLB,326.900
Grant Holmes,ATL,SP,MLB,325.650
Chase Meidroth,CWS,2B,MLB,325.500
Ryan Walker,SF,RP,MLB,325.200
Brooks Lee,MIN,2B,MLB,324.500
Logan Henderson,MIL,SP,MLB,324.500
Alejandro Kirk,TOR,C,MLB,323.250
Max Muncy,LAD,3B,MLB,323.000
Ryan Jeffers,MIN,C,MLB,321.750
Victor Scott,STL,OF,MLB,318.500
Josh Jung,TEX,3B,MLB,316.750
Brandon Marsh,PHI,OF,MLB,316.250
Nolan Gorman,STL,2B,MLB,315.250
Dennis Santana,PIT,RP,MLB,314.700
Aaron Civale,ATH,SP,MLB,314.400
Josh Smith,TEX,1B,MLB,313.250
Spencer Horwitz,PIT,1B,MLB,312.750
Abner Uribe,MIL,RP,MLB,312.450
Andrew Benintendi,CWS,OF,MLB,311.750
Cedric Mullins II,TB,OF,MLB,311.500
Harrison Bader,SF,OF,MLB,310.250
Evan Carter,TEX,OF,MLB,308.750
Parker Meadows,DET,OF,MLB,308.750
Grant Taylor,CWS,RP,MLB,308.700
Jordan Walker,STL,OF,MLB,308.250
Jorge Soler,LAA,OF,MLB,308.000
Anthony Kay,CWS,SP,MLB,307.950
Anthony Volpe,NYY,SS,MLB,305.500
Kyle Leahy,STL,RP,MLB,305.400
Griffin Jax,TB,RP,MLB,305.050
Jose Quintana,COL,SP,MLB,303.950
Trevor Megill,MIL,RP,MLB,303.750
Jared Triolo,PIT,1B,MLB,303.250
Chris Paddack,MIA,SP,MLB,299.600
J.T. Realmuto,PHI,C,MLB,299.250
Wenceel Perez,DET,OF,MLB,298.750
Gabriel Moreno,ARI,C,MLB,298.250
Mark Vientos,NYM,3B,MLB,298.000
Logan Allen,CLE,SP,MLB,297.450
Chase DeLauter,CLE,OF,MLB,297.250
Johan Oviedo,BOS,SP,MLB,293.200
Bryce Elder,ATL,SP,MLB,293.050
Robert Garcia,TEX,RP,MLB,292.850
Kyle Teel,CWS,C,MLB,291.250
Austin Hays,CWS,OF,MLB,290.500
Luis Morales,ATH,SP,MLB,290.050
Kenley Jansen,DET,RP,MLB,288.750
Gavin Sheets,SD,1B,MLB,288.500
Tommy Edman,LAD,2B,MLB,288.500
Trevor Larnach,MIN,OF,MLB,288.000
Giancarlo Stanton,NYY,OF,MLB,287.750
Austin Wells,NYY,C,MLB,287.500
Mike Yastrzemski,ATL,OF,MLB,287.500
Ke'Bryan Hayes,CIN,3B,MLB,287.000
Randy Vasquez,SD,SP,MLB,287.000
Ian Seymour,TB,SP,MLB,286.850
Spencer Steer,CIN,1B,MLB,285.500
Brayan Rocchio,CLE,2B,MLB,285.250
Francisco Alvarez,NYM,C,MLB,284.250
Brett Baty,NYM,2B,MLB,283.750
Jesus Sanchez,TOR,OF,MLB,283.250
Jake Meyers,HOU,OF,MLB,282.750
Ryan McMahon,NYY,3B,MLB,282.750
Edwin Uceta,TB,RP,MLB,281.700
Michael Soroka,ARI,SP,MLB,281.350
Seranthony Dominguez,CWS,RP,MLB,281.350
Isaac Collins,KC,OF,MLB,280.250
Bo Naylor,CLE,C,MLB,279.750
Connor Norby,MIA,3B,MLB,279.500
Samuel Basallo,BAL,C,MLB,279.500
Luis Gil,NYY,SP,MLB,277.400
Lane Thomas,KC,OF,MLB,276.500
Dylan Beavers,BAL,OF,MLB,276.250
Jacob Latz,TEX,SP,MLB,274.500
Lance McCullers Jr.,HOU,SP,MLB,272.650
Brady House,WSH,3B,MLB,271.750
Zach McKinstry,DET,3B,MLB,271.750
Joc Pederson,TEX,DH,MLB,269.500
Gavin Lux,TB,2B,MLB,269.250
Griffin Canning,SD,SP,MLB,268.200
Kumar Rocker,TEX,SP,MLB,267.900
Logan O'Hoppe,LAA,C,MLB,267.500
Chase Dollander,COL,SP,MLB,264.750
German Marquez,SD,SP,MLB,264.550
Dominic Canzone,SEA,OF,MLB,264.500
Riley O'Brien,STL,RP,MLB,264.150
Jake Irvin,WSH,SP,MLB,264.050
Pavin Smith,ARI,1B,MLB,264.000
Josiah Gray,WSH,SP,MLB,263.750
Tyler Stephenson,CIN,C,MLB,262.250
Taijuan Walker,PHI,SP,MLB,261.350
Tomoyuki Sugano,COL,SP,MLB,261.150
Marcelo Mayer,BOS,2B,MLB,260.750
Bryan Abreu,HOU,RP,MLB,258.350
Victor Vodnik,COL,RP,MLB,257.650
Andrew Painter,PHI,SP,MLB,256.900
Alek Thomas,ARI,OF,MLB,256.750
Clayton Beeter,WSH,RP,MLB,256.650
Cam Smith,HOU,OF,MLB,256.500
Tyler O'Neill,BAL,OF,MLB,255.000
Richard Fitts,STL,SP,MLB,254.400
Justin Steele,CHC,SP,MLB,254.100
Kyle Isbel,KC,OF,MLB,252.750
Luis Rengifo,MIL,2B,MLB,252.250
Christian Moore,LAA,2B,MLB,252.000
Patrick Bailey,SF,C,MLB,252.000
Garrett Cleavinger,TB,RP,MLB,250.350
Owen Caissie,MIA,OF,MLB,248.750
Mick Abel,MIN,SP,MLB,248.650
Dillon Dingler,DET,C,MLB,247.500
Gabriel Arias,CLE,2B,MLB,247.500
Robert Suarez,ATL,RP,MLB,247.150
JoJo Romero,STL,RP,MLB,246.700
Carter Jensen,KC,C,MLB,246.000
Jeremiah Estrada,SD,RP,MLB,245.650
CJ Kayfus,CLE,1B,MLB,245.000
Edgar Quero,CWS,C,MLB,244.500
Bryce Eldridge,SF,1B,MLB,244.250
Lenyn Sosa,CWS,1B,MLB,243.250
Carlos Narvaez,BOS,C,MLB,242.750
Jake McCarthy,COL,OF,MLB,240.000
Tyler Freeman,COL,2B,MLB,239.500
Carson Williams,TB,SS,MLB,239.000
Taylor Rogers,MIN,RP,MLB,238.900
Erick Fedde,CWS,SP,MLB,238.500
Kevin Ginkel,ARI,RP,MLB,238.350
Jose Caballero,NYY,2B,MLB,238.250
Ha-Seong Kim,ATL,2B,MLB,237.000
Lourdes Gurriel Jr.,ARI,OF,MLB,237.000
Nick Gonzales,PIT,2B,MLB,236.000
Edouard Julien,COL,1B,MLB,235.750
Will Vest,DET,RP,MLB,235.250
Luisangel Acuna,CWS,2B,MLB,233.750
Brooks Baldwin,CWS,2B,MLB,233.500
Garrett Whitlock,BOS,RP,MLB,233.200
Adrian Morejon,SD,RP,MLB,231.250
Spencer Arrighetti,HOU,SP,MLB,230.050
Luke Weaver,NYM,RP,MLB,229.700
Robert Stephenson,LAA,RP,MLB,229.200
Hunter Barco,PIT,SP,MLB,228.850
Jake Fraley,TB,OF,MLB,228.500
Miguel Andujar,SD,3B,MLB,228.250
Janson Junk,MIA,SP,MLB,228.050
Yoan Moncada,LAA,3B,MLB,228.000
Carson Kelly,CHC,C,MLB,227.750
Jose A. Ferrer,SEA,RP,MLB,226.550
Freddy Fermin,SD,C,MLB,226.500
Kutter Crawford,BOS,SP,MLB,225.850
Andrew Kittredge,BAL,RP,MLB,225.650
Phil Maton,CHC,RP,MLB,225.650
Justin Sterner,ATH,RP,MLB,225.300
Victor Robles,SEA,OF,MLB,225.250
George Valera,CLE,OF,MLB,224.250
Ryan Feltner,COL,SP,MLB,224.250
Tanner Scott,LAD,RP,MLB,224.250
Hunter Dobbins,STL,SP,MLB,224.000
Hogan Harris,ATH,RP,MLB,222.800
Alek Manoah,LAA,SP,MLB,222.700
Camilo Doval,NYY,RP,MLB,222.400
Robert Gasser,MIL,SP,MLB,221.650
Paul Goldschmidt,NYY,1B,MLB,221.500
Garrett Mitchell,MIL,OF,MLB,220.500
Christopher Morel,MIA,OF,MLB,220.000
Jordan Lawlar,ARI,3B,MLB,220.000
Zach Cole,HOU,OF,MLB,219.750
Cole Young,SEA,2B,MLB,219.000
Mike Vasil,CWS,SP,MLB,218.150
Nick Castellanos,SD,OF,MLB,217.750
Kyle Harrison,MIL,SP,MLB,217.050
Carlos Santana,ARI,1B,MLB,216.500
Matt Brash,SEA,RP,MLB,216.500
Caden Dana,LAA,SP,MLB,215.600
Nathan Lukes,TOR,OF,MLB,215.500
Kirby Yates,LAA,RP,MLB,215.400
